journal.title,count
IFAC-PapersOnLine,65
The Journal of Immunology,65
American Heart Journal,65
Nature Communications,64
Frontiers in Neurology,64
Brain Injury,64
Journal of Pediatric Gastroenterology and Nutrition,63
The Journal of Pediatrics,63
Cancer Chemotherapy and Pharmacology,63
Techniques in Coloproctology,63
Emergency Medicine Australasia,63
Research Square,62
Academic Emergency Medicine,62
Clinical Gastroenterology and Hepatology,62
BMJ Case Reports,62
Nature Genetics,62
Annals of Surgery,61
Scandinavian Journal of Gastroenterology,61
Clinical Colorectal Cancer,61
Drugs,60
Transplantation,60
European Journal of Endocrinology,60
Clinical Journal of the American Society of Nephrology,59
Expert Review of Cardiovascular Therapy,59
Digestive Diseases,58
Pediatric Surgery International,58
Leukemia & Lymphoma,58
British Journal of Anaesthesia,58
Expert Review of Anticancer Therapy,57
Digestive and Liver Disease,56
Otology & Neurotology,55
Annals of Emergency Medicine,55
The Medical Journal of Australia,55
Annals of Clinical Biochemistry International Journal of Laboratory Medicine,55
Diabetes Care,55
Radiotherapy and Oncology,54
Critical Reviews in Oncology/Hematology,54
Proceedings of the National Academy of Sciences of the United States of America,54
Journal of the American Heart Association,54
Anaesthesia,53
European Journal of Gastroenterology & Hepatology,53
Pediatric Nephrology,53
Human Molecular Genetics,52
American Journal of Respiratory and Critical Care Medicine,52
Journal of the Neurological Sciences,52
The Journal of Arthroplasty,52
Emergency Medicine Journal,52
Dysphagia,51
Clinical Infectious Diseases,51
Therapeutic Drug Monitoring,51
The American Journal of Medicine,51
Nephrology,51
Medicina Clínica,51
American Journal of Human Genetics,50
Expert Opinion on Drug Metabolism & Toxicology,50
Spinal Cord,50
Journal of Hepatology,50
European Urology,50
Circulation Journal,50
Journal of Thrombosis and Haemostasis,49
Journal of Paediatrics and Child Health,49
Urology,49
Journal of Clinical Medicine,49
Journal of Thoracic Disease,49
Journal of Laparoendoscopic & Advanced Surgical Techniques,48
Rheumatology,48
Seizure,48
Respirology,48
European Journal of Surgical Oncology,48
Hepato Pancreato Biliary,47
NeuroImage,47
Gastroenterology Research and Practice,47
Pharmacogenomics,47
BMC Nephrology,46
Multiple Sclerosis Journal,46
Comparative Haematology International,45
Movement Disorders,45
Annals of Pharmacotherapy,45
Peptides,45
Current Cardiology Reports,45
Cancer Treatment Reviews,44
Trials,44
Biomedical Signal Processing and Control,43
Nature Reviews Cardiology,43
Thrombosis Research,43
Journal of Cardiac Failure,43
Future Oncology,43
The Bone & Joint Journal,43
American Journal of Neuroradiology,43
Expert Opinion on Investigational Drugs,43
Critical Pathways in Cardiology,43
Journal of Surgical Research,42
Journal of Neurology,42
Mayo Clinic Proceedings,42
Expert Opinion on Drug Safety,42
Spine,42
Journal of Medical Imaging and Radiation Oncology,42
American Journal of Medical Genetics Part A,42
Acta Oncologica,42
Clinical Pharmacokinetics,42
International Journal of Surgery,41
Antimicrobial Agents and Chemotherapy,41
Journal of Surgical Oncology,41
Supportive Care in Cancer,41
Heart Failure Reviews,41
Journal of Breath Research,41
The Oncologist,41
Cardiovascular Diabetology,41
Journal of Critical Care,40
Surgery,40
Anesthesiology,40
American Journal of Clinical Nutrition,40
Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,40
Diabetes Obesity and Metabolism,40
Parkinsonism & Related Disorders,40
Hypertension,40
Journal of Clinical Neuroscience,40
Frontiers in Physiology,40
Journal of Clinical Gastroenterology,40
Journal of Biological Chemistry,40
Nature Reviews Nephrology,40
Surgical Clinics of North America,39
The American Journal of Surgery,39
International Journal of Cancer,39
Pediatric Research,39
International Journal of Clinical Oncology,39
Clinical Cancer Research,39
Arthritis & Rheumatology,39
European Heart Journal Acute Cardiovascular Care,39
Current Opinion in Gastroenterology,38
BioMedical Engineering OnLine,38
Journal of Vascular Surgery,38
Current Gastroenterology Reports,38
Respiratory Medicine,38
Hepatology,38
Neurology,37
Clinics in Colon and Rectal Surgery,37
Annals of Intensive Care,37
PLOS Genetics,37
Current Opinion in Critical Care,37
BMC Infectious Diseases,37
Heart Failure Clinics,37
OncoTargets and Therapy,37
Cureus,37
Clinical and Translational Oncology,37
IEEE Transactions on Biomedical Engineering,37
Stroke,37
Seminars in Colon and Rectal Surgery,36
Revista Española de Cardiología,36
Gastrointestinal Endoscopy,36
Genes & Immunity,36
International Urogynecology Journal,35
Haemophilia,35
Journal of Viral Hepatitis,35
Brain,35
Mucosal Immunology,35
Diabetes Research and Clinical Practice,35
European Journal of Clinical Pharmacology,35
Cardiovascular Revascularization Medicine,34
"Knee Surgery, Sports Traumatology, Arthroscopy",34
Journal of Antimicrobial Chemotherapy,34
Thorax,34
JAMA Surgery,34
International Journal of Chronic Obstructive Pulmonary Disease,34
Seminars in Dialysis,34
Journal of Cardiothoracic and Vascular Anesthesia,34
American Journal of Roentgenology,34
Circulation Cardiovascular Interventions,34
Internal Medicine,34
Cirugía Española,33
Diabetes/Metabolism Research and Reviews,33
Otolaryngology,33
Pharmacological Research,33
Psychoneuroendocrinology,33
Arthritis Research & Therapy,33
Frontiers in Pharmacology,33
Frontiers in Oncology,33
Oncology Letters,33
BMC Gastroenterology,33
Clinical and Experimental Ophthalmology,33
Journal of Internal Medicine,33
Gynecologic Oncology,33
British Journal of Haematology,33
Human Mutation,33
Endocrine,33
Revista Española de Cardiología (English Edition),32
Journal of the American College of Surgeons,32
The American Surgeon,32
The International Journal of Cardiovascular Imaging,32
The Laryngoscope,32
Antioxidants & Redox Signaling,32
BMC Cardiovascular Disorders,32
Annals of the Rheumatic Diseases,32
Journal of Chromatography B,32
Best Practice & Research Clinical Gastroenterology,32
European Journal of Anaesthesiology,32
JAMA Internal Medicine,32
International Journal of Antimicrobial Agents,32
Journal of Infection,32
Journal of Trauma and Acute Care Surgery,31
Journal of Applied Physiology,31
Journal of Hypertension,31
Journal of Craniofacial Surgery,31
Hernia,31
Annals of Vascular Surgery,31
Annals of The Royal College of Surgeons of England,31
Journal of Cataract & Refractive Surgery,31
International Urology and Nephrology,31
Journal of Autoimmunity,31
European Radiology,31
COPD Journal of Chronic Obstructive Pulmonary Disease,31
Canadian Journal of Cardiology,31
Infection and Immunity,31
Journal of Neurotrauma,31
Liver International,31
European Archives of Oto-Rhino-Laryngology,30
Sensors and Actuators B Chemical,30
Biomarkers in Medicine,30
Der Chirurg,30
American Journal of Transplantation,30
Clinical Anatomy,30
Current Medical Research and Opinion,30
Journal of Neurology Neurosurgery & Psychiatry,30
Expert Opinion on Biological Therapy,30
Obstetrics and Gynecology,30
Journal of Emergency Medicine,30
Expert Review of Clinical Immunology,30
Digestive Surgery,30
Pathology,30
Oncology,30
Disability and Rehabilitation,30
NeuroImage Clinical,30
Internal and Emergency Medicine,30
Pediatric Radiology,29
Nature Reviews Clinical Oncology,29
Experimental and Therapeutic Medicine,29
World Neurosurgery,29
Resuscitation,29
Medical Science Monitor,29
Clinics and Research in Hepatology and Gastroenterology,29
Human Genetics,29
British Journal of Ophthalmology,29
Annales de Médecine Interne,29
Anaesthesia and Intensive Care,29
Journal of the American Society of Nephrology,29
Advances in Therapy,29
Neurourology and Urodynamics,28
Der Urologe,28
Metabolism,28
Journal of Head Trauma Rehabilitation,28
Journal de Chirurgie Viscérale,28
F1000Research,28
Current Opinion in Anaesthesiology,28
Current Heart Failure Reports,28
Cancers,28
The Journal of Rheumatology,28
Archives of Disease in Childhood,28
Immunity,28
Asian Pacific Journal of Cancer Prevention,28
Gastroenterology Clinics of North America,27
Sensors,27
Heart Rhythm,27
Annals of the New York Academy of Sciences,27
Current Opinion in Endocrinology Diabetes and Obesity,27
International Journal of Surgery Case Reports,27
Current Colorectal Cancer Reports,27
Current Opinion in Neurology,27
European Journal of Vascular and Endovascular Surgery,27
British Journal of Nursing,27
Clinical Science,27
Hemodialysis International,27
Current Opinion in Nephrology & Hypertension,27
Endocrinology and Metabolism Clinics of North America,27
Diabetic Medicine,27
The Knee,27
Advances in Chronic Kidney Disease,27
Journal of Parenteral and Enteral Nutrition,27
Epilepsia,27
Journal of Clinical Lipidology,27
Human Brain Mapping,27
BMC Health Services Research,27
Seminars in Oncology,27
Frontiers in Genetics,27
Clinical Therapeutics,27
Clinical Neurophysiology,27
BMC Medicine,27
Cardiology Clinics,27
Transplantation Proceedings,26
EP Europace,26
Pharmacoepidemiology and Drug Safety,26
Medical Physics,26
AJP Heart and Circulatory Physiology,26
Respiration,26
European Journal of Clinical Microbiology & Infectious Diseases,26
Plastic & Reconstructive Surgery,26
Molecular Medicine Reports,26
Malaria Journal,26
Pharmacology & Therapeutics,26
Expert Review of Molecular Diagnostics,26
Endocrine Practice,26
European Journal of Pharmacology,26
Cornea,26
Intestinal Research,26
Breast Cancer Research and Treatment,26
Investigational New Drugs,26
American Journal of Obstetrics and Gynecology,25
Journal of Clinical Nursing,25
Japanese Journal of Clinical Oncology,25
International Scholarly Research Notices,25
Journal of International Medical Research,25
Cell Reports,25
Asia-Pacific Journal of Clinical Oncology,25
Nature,25
Journal of Cardiology,25
Respiratory Care,25
The Journal of Pathology,25
Pediatric Anesthesia,25
Acta Anaesthesiologica Scandinavica,25
Journal of Cardiovascular Medicine,25
Clinical Pharmacology & Therapeutics,25
Diabetologia,25
International Journal of Pediatric Otorhinolaryngology,25
Annals of Translational Medicine,25
Seminars in Pediatric Surgery,25
Medical Oncology,25
Gastroenterology & hepatology,25
Pharmacotherapy The Journal of Human Pharmacology and Drug Therapy,24
Annals of Hematology,24
Digestion,24
International Journal of Clinical Practice,24
Current Treatment Options in Cardiovascular Medicine,24
Clinical Genetics,24
Analytical Methods,24
Radiology,24
Journal of Endocrinological Investigation,24
Surgical Laparoscopy Endoscopy & Percutaneous Techniques,24
Journal of Gastroenterology,24
Journal of Allergy and Clinical Immunology,24
Frontiers in Neuroscience,24
Circulation Research,24
Journal of Leukocyte Biology,24
Biochemical and Biophysical Research Communications,24
Mediators of Inflammation,24
Physics in Medicine and Biology,24
Journal of Clinical Investigation,24
Cancer Medicine,24
Coronary Artery Disease,24
Human Immunology,24
International Journal of Environmental Research and Public Health,24
Autoimmunity Reviews,24
Clinical Cardiology,23
Bone,23
International Journal of Gynecological Cancer,23
American Journal Of Pathology,23
Drugs & Aging,23
Expert Review of Endocrinology & Metabolism,23
Clinical and Translational Gastroenterology,23
Current Opinion in Lipidology,23
Langenbeck's Archives of Surgery,23
Acta Paediatrica,23
Seminars in Nephrology,23
Current Oncology,23
Nephron,23
American Journal of Clinical Oncology,23
Biomedicine & Pharmacotherapy,23
Journal of Clinical Microbiology,23
European Journal of Emergency Medicine,23
Annals of Gastroenterology,23
The Journal of Maternal-Fetal & Neonatal Medicine,23
British Journal of Oral and Maxillofacial Surgery,23
Journal of Japan Surgical Association,23
Postgraduate Medical Journal,23
British Journal of Dermatology,23
Osteoporosis International,23
BMC Research Notes,23
Journal of Cranio-Maxillofacial Surgery,23
Cell,23
Current Atherosclerosis Reports,23
Clinical Kidney Journal,23
Current Opinion in Cardiology,22
Clinical Research in Cardiology,22
Therapeutic Advances in Gastroenterology,22
Surgery Today,22
BMC Medical Genetics,22
Nutrition in Clinical Practice,22
Best Practice & Research Clinical Endocrinology & Metabolism,22
World Journal of Surgical Oncology,22
Biochemical Pharmacology,22
Journal of Medical Genetics,22
Cancer/Radiothérapie,22
Future Cardiology,22
European Journal of Human Genetics,22
Expert Review of Neurotherapeutics,22
Clinical Lymphoma Myeloma & Leukemia,22
Chinese Medical Journal,22
British Journal of Hospital Medicine,22
Clinical Lipidology and Metabolic Disorders,22
Journal of Cancer Research and Clinical Oncology,22
Archives of Physical Medicine and Rehabilitation,22
American Journal of Therapeutics,22
Investigative Ophthalmology & Visual Science,22
Abdominal Radiology,22
Expert Review of Clinical Pharmacology,22
Expert Review of Anti-infective Therapy,22
Multiple Sclerosis and Related Disorders,22
Médecine Intensive Réanimation,22
Proceedings of SPIE,22
Journal of Medical Case Reports,22
Cells,22
Neurosurgery,22
Nature Reviews Endocrinology,22
Archives of Gynecology and Obstetrics,21
BMC Pulmonary Medicine,21
Journal of the American Academy of Dermatology,21
QJM,21
Therapeutics and Clinical Risk Management,21
Journal of Pharmaceutical and Biomedical Analysis,21
Medical Clinics of North America,21
Clinical Genitourinary Cancer,21
Developmental Medicine & Child Neurology,21
European Journal of Internal Medicine,21
Postgraduate Medicine,21
Neurological Sciences,21
Clinical Rheumatology,21
European Journal of Radiology,21
Current Opinion in Rheumatology,21
Urologic Oncology Seminars and Original Investigations,21
Pediatric Pulmonology,21
Haematologica,21
Journal of Advanced Nursing,21
Diabetes Technology & Therapeutics,21
Surgical Oncology Clinics of North America,21
Journal of Plastic Reconstructive & Aesthetic Surgery,21
Cancer Research,21
Korean Journal of Gastroenterology,21
Current Oncology Reports,21
Herz,21
Nature Reviews Urology,21
Biomaterials,21
Seminars in Perinatology,20
Australian and New Zealand Journal of Obstetrics and Gynaecology,20
British Journal of Radiology,20
Emergency Medicine Clinics of North America,20
Congestive Heart Failure,20
The Journal of Clinical Pharmacology,20
Thrombosis and Haemostasis,20
Analytical and Bioanalytical Chemistry,20
International Journal of Nursing Studies,20
Der Onkologe,20
Radiation Oncology,20
Renal Failure,20
Frontiers in Medicine,20
Journal of Perinatology,20
Cancer Management and Research,20
RSC Advances,20
JAMA Neurology,20
Journal of the International Neuropsychological Society,20
AJP Gastrointestinal and Liver Physiology,20
Gastroenterología y Hepatología,20
Oxidative Medicine and Cellular Longevity,20
Journal of Digestive Diseases,20
Journal of Gastrointestinal Oncology,20
Diabetes,20
Current Diabetes Reports,20
PeerJ,20
Journal of Oral and Maxillofacial Surgery,20
Atmospheric Chemistry and Physics,20
Journal of Infection and Chemotherapy,20
JAMA Cardiology,20
Tumor Biology,20
Drug Metabolism and Disposition,20
Journal of Translational Medicine,20
Clinical Radiology,20
Journal of Endourology,20
Medicine - Programa de Formación Médica Continuada Acreditado,20
Transplant International,20
Rheumatology International,20
Ophthalmology,19
Frontiers in Pediatrics,19
World Journal of Hepatology,19
Journal of Cerebral Blood Flow & Metabolism,19
Actas Urológicas Españolas,19
Neurogastroenterology & Motility,19
Current Hepatology Reports,19
Radio Graphics,19
Expert Review of Medical Devices,19
Arteriosclerosis Thrombosis and Vascular Biology,19
Nature Reviews Rheumatology,19
Journal of Korean Medical Science,19
Vascular Health and Risk Management,19
Journal of Intensive Care,19
Bone Marrow Transplantation,19
Head & Neck,19
Journal of Experimental Medicine,19
Pancreatology,19
Pediatric Blood & Cancer,19
Cardiovascular Drugs and Therapy,19
Arquivos Brasileiros de Cardiologia,19
Canadian Medical Association Journal,19
Clinical Orthopaedics and Related Research®,19
Leukemia Research,19
Mathematical Biosciences,19
American Journal of Health-System Pharmacy,19
Physiological Reviews,19
Histopathology,19
European Journal of Clinical Investigation,19
American Journal of Cardiovascular Drugs,19
Bioanalysis,19
Anti-Cancer Drugs,19
Journal of Interventional Cardiology,19
Therapeutic Advances in Medical Oncology,19
Deutsches Aerzteblatt Online,19
Cirugía Española (English Edition),19
Seminars in Arthritis and Rheumatism,19
JDDG Journal der Deutschen Dermatologischen Gesellschaft,19
World Journal of Urology,18
European Journal of Clinical Nutrition,18
Endocrinology,18
Rapid Communications in Mass Spectrometry,18
United European Gastroenterology Journal,18
Clinical Ophthalmology,18
Molecular Biology Reports,18
Analytica Chimica Acta,18
Visceral Medicine,18
BMC Pediatrics,18
Genome Biology,18
Indian Journal of Endocrinology and Metabolism,18
JACC Cardiovascular Imaging,18
Patient Education and Counseling,18
Obesity Surgery,18
Current Urology Reports,18
Clinical Neurology and Neurosurgery,18
Journal of Thoracic and Cardiovascular Surgery,18
Journal of Veterinary Internal Medicine,18
Netherlands Heart Journal,18
Endocrine Reviews,18
Clinical Microbiology and Infection,18
HNO,18
Neuroscience & Biobehavioral Reviews,18
Current Rheumatology Reports,18
The Lancet Diabetes & Endocrinology,18
SSRN Electronic Journal,18
Journal of Neural Transmission,18
The Pharmacogenomics Journal,18
Journal of Cancer Education,18
Frontiers in Endocrinology,18
Atmospheric Measurement Techniques,18
Critical Reviews in Clinical Laboratory Sciences,18
Journal of the European Academy of Dermatology and Venereology,18
Blood Purification,18
Journal of Bone and Mineral Research,18
Current Opinion in Pulmonary Medicine,18
Scandinavian Journal of Clinical and Laboratory Investigation,18
Journal of Thrombosis and Thrombolysis,17
2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),17
The Journal of Physiology,17
Journal of Alzheimer's Disease,17
Nature Medicine,17
Canadian Journal of Gastroenterology and Hepatology,17
Injury,17
Indian Journal of Surgery,17
Journal of Neurosurgery,17
AJP Regulatory Integrative and Comparative Physiology,17
Journal of Oncology Practice,17
Infectious Diseases,17
Progrès en Urologie,17
Interventional Cardiology,17
Der Gastroenterologe,17
Leukemia,17
Journal of Atherosclerosis and Thrombosis,17
Journal of Human Genetics,17
Drug Testing and Analysis,17
Arquivos de Neuro-Psiquiatria,17
Journal canadien d'anesthésie,17
Immunology Letters,17
Hematology/Oncology Clinics of North America,17
Psychosomatics,17
Current Neurology and Neuroscience Reports,17
Vaccine,17
Cardiology,17
BMC Public Health,17
Australian & New Zealand Journal of Psychiatry,17
International Journal of Clinical Pharmacy,17
Clinical Nutrition,17
American Journal of Nephrology,17
Early Human Development,17
Clinical Drug Investigation,17
Southern Medical Journal,17
Nature Reviews Immunology,17
International Journal of Hematology,17
Drug Design Development and Therapy,17
Der Anaesthesist,17
Critical Care Clinics,17
Canadian Urological Association Journal,17
Journal of Stroke and Cerebrovascular Diseases,17
International Journal of Obesity,17
The Annals of Thoracic Surgery,17
American Journal of Hematology,17
Journal of Magnetic Resonance Imaging,17
Canadian Journal of Ophthalmology,17
Urologia Internationalis,17
Thyroid,17
Pediatric Neurology,17
Statistics in Medicine,17
Blood Coagulation & Fibrinolysis,17
Reactions Weekly,17
Trends in Immunology,17
Audiology and Neurotology,16
Annals of the American Thoracic Society,16
Maturitas,16
JACC Heart Failure,16
Journal of Pharmacology and Experimental Therapeutics,16
Journal of Nutrition,16
Drug Safety,16
Current Opinion in Infectious Diseases,16
Journal of Child Neurology,16
JAMA Otolaryngology - Head & Neck Surgery,16
Journal of Agricultural and Food Chemistry,16
British Journal of Biomedical Science,16
The Journal of Laryngology and Otology,16
Journal of the American Society of Echocardiography,16
Molecules,16
The Lancet Infectious Diseases,16
Journal of Gastrointestinal Cancer,16
Circulation Heart Failure,16
Medical Engineering & Physics,16
Neuroradiology,16
Analyst,16
Journal of Neuro-Ophthalmology,16
Journal of the American College of Radiology,16
BMC Surgery,16
Bioinformatics,16
European Journal of Nuclear Medicine and Molecular Imaging,16
International Journal of Rheumatic Diseases,16
Journal of Parkinson's Disease,16
Seminars in Immunopathology,16
Echocardiography,16
Behavioural Brain Research,16
European Journal of Cardio-thoracic Surgery,16
Molecular and Cellular Endocrinology,16
Revue des Maladies Respiratoires,16
The Lancet Neurology,16
Current Opinion in Clinical Nutrition & Metabolic Care,16
Journal of Clinical Pathology,16
Nature Reviews Disease Primers,16
Neurosurgical FOCUS,16
Journal of Neurosurgery Spine,16
Annals of Coloproctology,16
Cell Host & Microbe,16
Colorectal Cancer,16
Annals of Biomedical Engineering,16
Life Sciences,16
The Lancet Gastroenterology & Hepatology,16
Quality of Life Research,16
Annals of Neurology,16
Cancer Science,16
Genome Medicine,16
The Pediatric Infectious Disease Journal,16
Current Opinion in Pediatrics,16
American Journal of Ophthalmology,16
Nature Reviews Neurology,15
American Journal of Physiology. Renal physiology,15
Molecular Diagnosis & Therapy,15
Journal of Sexual Medicine,15
mBio,15
Experimental Brain Research,15
Archives of Cardiovascular Diseases,15
Acta Ophthalmologica,15
Journal of Clinical Pharmacy and Therapeutics,15
Journal of the American Geriatrics Society,15
Medicina Intensiva,15
Der Kardiologe,15
Gut Microbes,15
Immunological Reviews,15
British Journal Of Nutrition,15
Urologic Clinics of North America,15
Child's Nervous System,15
International Journal of Endocrinology,15
BMC Endocrine Disorders,15
Frontline Gastroenterology,15
Health Technology Assessment,15
The Journal of Bone and Joint Surgery (American),15
AIDS,15
BMC Genomics,15
Gastric Cancer,15
Endocrine Journal,15
Journal of Controlled Release,15
Nefrología,15
Hong Kong Journal of Emergency Medicine,15
Cellular and Molecular Gastroenterology and Hepatology,15
Nature Reviews Genetics,15
The American Journal of the Medical Sciences,15
Journal of Clinical Laboratory Analysis,15
Prostate Cancer and Prostatic Diseases,15
Archivos de Bronconeumología,15
Talanta,15
Current Opinion in Ophthalmology,15
Reviews in Endocrine and Metabolic Disorders,15
Prenatal Diagnosis,15
Current Opinion in Urology,15
日本腹部救急医学会雑誌,15
Gut and Liver,15
Acta Chirurgica Belgica,15
Cardiology in Review,15
Acta Obstetricia Et Gynecologica Scandinavica,15
Medical Hypotheses,15
Pacing and Clinical Electrophysiology,15
Biomarkers,14
CardioVascular and Interventional Radiology,14
Médecine des Maladies Métaboliques,14
Expert Opinion on Therapeutic Targets,14
Journal of Geriatric Oncology,14
Journal of Clinical Anesthesia,14
Medicina Clínica (English Edition),14
International braz j urol,14
European Journal of Pharmaceutical Sciences,14
Annales d Endocrinologie,14
Brain Imaging and Behavior,14
Antiviral Research,14
The JBI Database of Systematic Reviews and Implementation Reports,14
European Journal Of Haematology,14
International Journal of Molecular Medicine,14
World Journal of Clinical Cases,14
Clinical Toxicology,14
The Cancer Journal,14
Physiology & Behavior,14
Biosensors and Bioelectronics,14
Australia and New Zealand Health Policy,14
Kidney & Blood Pressure Research,14
Endocrinología Diabetes y Nutrición,14
Frontiers in Microbiology,14
Journal of Pharmacy and Pharmacology,14
Progress in Cardiovascular Diseases,14
Journal of Speech Language and Hearing Research,14
Current Problems in Surgery,14
Eye,14
JAMA Ophthalmology,14
Nucleic Acids Research,14
Hepatology Research,14
Annals of Surgical Treatment and Research,14
Journal of Intensive Care Medicine,14
The Journal of Infectious Diseases,14
Journal of Asthma,14
Journal of Pediatric Endocrinology and Metabolism,14
Medical Mycology,14
Orphanet Journal of Rare Diseases,14
The FASEB Journal,14
Diabetology & Metabolic Syndrome,14
British Journal of Pharmacology,14
Biomedical Chromatography,14
Clinical and Experimental Optometry,14
American Journal of Tropical Medicine and Hygiene,14
Acta Biomaterialia,14
Cancer Letters,14
Cytokine,14
Gastrointestinal Nursing,14
Shock,14
European Heart Journal - Cardiovascular Imaging,14
Clinical Biochemist Reviews,14
Science,14
Clinical and Experimental Nephrology,14
Journal of Neuro-Oncology,14
Nature Immunology,14
Surgical Oncology,14
Disease Markers,14
Strahlentherapie und Onkologie,14
European Journal of Neurology,14
Clínica e Investigación en Arteriosclerosis,14
Current Opinion in Oncology,14
Pancreas,14
Pediatric Critical Care Medicine,14
JAMA Pediatrics,13
Journal of Medical Microbiology,13
Clinical Microbiology Reviews,13
Translational Research,13
Indian Heart Journal,13
Der Internist,13
Advances in Interventional Cardiology,13
Interventional Cardiology Review,13
Oncology Research and Treatment,13
Annals of Plastic Surgery,13
European Journal of Pediatrics,13
npj Primary Care Respiratory Medicine,13
Journal of Evolution of Medical and Dental Sciences,13
Journal of Affective Disorders,13
Cardiovascular Therapeutics,13
Diabetes & Metabolism,13
Diagnostic Microbiology and Infectious Disease,13
Côlon & Rectum,13
BMC Anesthesiology,13
Best Practice & Research Clinical Anaesthesiology,13
Seminars in Fetal and Neonatal Medicine,13
Western Journal of Emergency Medicine,13
European Journal of Medical Genetics,13
Frontiers in Aging Neuroscience,13
Journal of Cancer,13
Texas Heart Institute Journal,13
Heart and Vessels,13
Oncologie,13
JCI Insight,13
Clinical Case Reports,13
Journal of the National Cancer Institute,13
Biology of Blood and Marrow Transplantation,13
Pediatrics International,13
European Heart Journal Supplements,13
Journal Français d Ophtalmologie,13
Lupus,13
Journal of Geriatric Cardiology,13
Journal of Ultrasound in Medicine,13
Endocrine Connections,13
European Journal of Immunology,13
Obesity,13
Nutrition Reviews,13
Pharmacogenetics and Genomics,13
Journal of the Formosan Medical Association,13
Saudi Journal of Gastroenterology,13
Neuroscience,13
International Journal of Biological Macromolecules,13
Journal of Human Hypertension,13
World Journal of Gastrointestinal Surgery,13
Bioorganic & Medicinal Chemistry Letters,13
Neoplasia,13
Arthritis Care & Research,13
Global Spine Journal,13
Science Translational Medicine,13
Journal of Oral Rehabilitation,13
Best Practice & Research Clinical Rheumatology,13
European Journal of Nutrition,13
Canadian Journal of Diabetes,13
Journal of Cellular Biochemistry,13
Clinical and Applied Thrombosis/Hemostasis,13
International Journal of Clinical and Experimental Pathology,13
Gene,13
Notfall +  Rettungsmedizin,13
Neuropsychologia,13
Drug Discovery Today,13
Acta Cardiologica,13
The Breast,13
Journal of Clinical and Diagnostic Research,13
British Journal of General Practice,13
Neuroscience Letters,13
Frontiers in Cardiovascular Medicine,13
Canadian Journal of Emergency Medicine,13
Journal of Voice,13
Chemical Communications,13
Anaesthesia Critical Care & Pain Medicine,13
The Journal of Applied Laboratory Medicine,13
Current Opinion in Immunology,13
Yonsei Medical Journal,13
Journal of Biomedical Materials Research Part B Applied Biomaterials,13
Interactive Cardiovascular and Thoracic Surgery,13
Clinical Transplantation,13
Orvosi Hetilap,13
Blood Reviews,13
Current Cardiovascular Imaging Reports,13
The Spanish Journal of Gastroenterology,12
Immunologic Research,12
Korean Circulation Journal,12
Peritoneal Dialysis International,12
Journal of the American Veterinary Medical Association,12
Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis,12
Journal of Cardiothoracic Surgery,12
Infectious Disease Clinics of North America,12
PLoS Pathogens,12
